x,y,label,ood_score,pic_name
17.964216,-5.603992,0,0.148332,lll2870.jpg
-0.20444,34.254772,0,0.384335,lll13091.jpg
-5.911211,-0.869259,0,0.209048,lll3010.jpg
-7.306326,-47.623871,0,0.563787,lll13.jpg
-9.635988,67.577225,0,0.552947,lll2110.jpg
-17.92775,-73.65966,0,0.054261,lll1833.jpg
50.960079,-1.94086,0,0.21264,lll181.jpg
-23.248034,-73.219742,0,0.05402,lll3153.jpg
-15.313391,-77.654778,0,0.05413,lll314.jpg
0.951603,33.812412,0,0.303914,lll2420.jpg
-12.555998,-69.752861,0,0.07282,lll2190.jpg
32.240719,16.586988,0,0.412895,lll1554.jpg
-70.440483,27.906082,0,0.059579,lll2434.jpg
-19.793072,-75.686996,0,0.053892,lll1552.jpg
-71.001945,27.412203,0,0.075685,lll1571.jpg
-72.071793,24.203157,0,0.192313,lll1844.jpg
59.875393,-1.656095,0,0.074854,lll3070.jpg
-7.674923,72.329361,0,0.128109,lll3073.jpg
-76.09642,23.757761,0,0.286538,lll3263.jpg
-6.936624,71.883232,0,0.117601,lll2830.jpg
-19.221081,-75.616928,0,0.053776,lll1852.jpg
56.134125,-4.958836,0,0.109486,lll240.jpg
-69.966675,25.54397,0,0.117449,lll3144.jpg
8.139128,52.502544,0,0.301177,lll3160.jpg
12.771465,-1.84211,0,0.504925,lll1551.jpg
-72.111938,26.037956,0,0.062256,lll14.jpg
-15.750854,-73.29303,0,0.052389,lll1582.jpg
-73.101913,25.10495,0,0.139059,lll2864.jpg
51.782578,-2.893957,0,0.145079,lll2161.jpg
-18.816095,-72.564194,0,0.054612,lll3092.jpg
-69.577225,25.933266,0,0.123804,lll3044.jpg
-57.008198,31.018684,0,0.284936,lll2111.jpg
-3.731735,-57.636513,0,0.239297,lll3132.jpg
-9.589114,68.649361,0,0.252996,lll1510.jpg
53.082314,0.883317,0,0.093778,lll3052.jpg
4.577079,-38.261482,0,0.142265,lll3034.jpg
