x,y,label,ood_score,pic_name
9.208734,-0.041279,0,0.148332,lll2870.jpg
12.344047,0.065378,0,0.384335,lll13091.jpg
10.844838,-0.013788,0,0.209048,lll3010.jpg
6.84879,-0.100247,0,0.563787,lll13.jpg
11.736696,0.087528,0,0.552947,lll2110.jpg
9.465048,-0.009581,0,0.054261,lll1833.jpg
7.203228,-0.127346,0,0.21264,lll181.jpg
10.842379,0.02794,0,0.05402,lll3153.jpg
9.681482,-0.009804,0,0.05413,lll314.jpg
10.612124,-0.015847,0,0.303914,lll2420.jpg
9.024251,-0.044765,0,0.07282,lll2190.jpg
8.041897,-0.077967,0,0.412895,lll1554.jpg
15.044703,0.134668,0,0.059579,lll2434.jpg
10.770414,0.010494,0,0.053892,lll1552.jpg
15.181021,0.116715,0,0.075685,lll1571.jpg
13.546429,0.119675,0,0.192313,lll1844.jpg
11.421633,0.035683,0,0.074854,lll3070.jpg
13.227398,0.146012,0,0.128109,lll3073.jpg
15.142545,0.138904,0,0.286538,lll3263.jpg
12.103917,0.140061,0,0.117601,lll2830.jpg
10.521665,0.006989,0,0.053776,lll1852.jpg
10.320884,-0.010706,0,0.109486,lll240.jpg
14.747149,0.115787,0,0.117449,lll3144.jpg
10.33741,0.008711,0,0.301177,lll3160.jpg
6.199748,-0.088996,0,0.504925,lll1551.jpg
14.785238,0.168718,0,0.062256,lll14.jpg
9.972202,0.006146,0,0.052389,lll1582.jpg
15.007895,0.16494,0,0.139059,lll2864.jpg
9.506289,-0.047896,0,0.145079,lll2161.jpg
9.324246,-0.012207,0,0.054612,lll3092.jpg
14.943569,0.148299,0,0.123804,lll3044.jpg
7.7735,-0.05948,0,0.284936,lll2111.jpg
8.30995,-0.052555,0,0.239297,lll3132.jpg
12.918154,0.113988,0,0.252996,lll1510.jpg
12.154804,0.051674,0,0.093778,lll3052.jpg
8.128402,-0.095312,0,0.142265,lll3034.jpg
10.205292,-0.018835,0,0.162943,lll3024.jpg
9.192493,-0.067574,0,0.100332,lll1891.jpg
15.160109,0.175598,0,0.064652,lll42.jpg
8.773228,-0.060759,0,0.166588,lll2160.jpg
8.750886,-0.060701,0,0.127714,lll13064.jpg
9.494441,-0.006612,0,0.052699,lll83.jpg
11.95223,0.047679,0,0.248741,lll12.jpg
12.65359,0.050271,0,0.366207,lll3291.jpg
11.309092,-0.008798,0,0.187823,lll2464.jpg
14.760943,0.19332,0,0.186285,lll2121.jpg
7.509723,-0.068172,0,0.566278,lll1511.jpg
10.876599,-0.075492,0,0.070287,lll1881.jpg
14.599073,0.133173,0,0.047447,lll3172.jpg
15.737388,0.062664,0,0.010788,lll2452.jpg
8.616438,-0.044831,0,0.163808,lll3032.jpg
7.089704,-0.117273,0,0.585883,lll1513.jpg
8.672822,-0.068884,0,0.254906,lll2120.jpg
11.467442,0.022928,0,0.090459,lll2891.jpg
6.546917,-0.100001,0,0.556849,lll13013.jpg
12.248531,0.069584,0,0.041782,lll50.jpg
9.753505,0.000027,0,0.052493,lll1884.jpg
8.574873,-0.07192,0,0.154282,lll1820.jpg
11.80782,0.036988,0,0.059614,lll3270.jpg
15.857819,0.144371,0,0.02104,lll2421.jpg
12.247643,-0.002698,0,0.0924,lll2480.jpg
8.78041,-0.067785,0,0.104895,lll2490.jpg
15.462779,0.079293,0,0.007157,lll3051.jpg
11.095163,-0.003122,0,0.424001,lll3184.jpg
10.980411,-0.004338,0,0.490737,lll84.jpg
10.617333,0.007353,0,0.452155,lll13012.jpg
9.57953,-0.012912,0,0.054883,lll2423.jpg
9.669695,-0.003248,0,0.054007,lll154.jpg
15.21608,0.07948,0,0.050057,lll2474.jpg
11.128813,0.034216,0,0.478262,lll303.jpg
15.047812,0.130293,0,0.109558,lll13054.jpg
11.320517,0.051178,0,0.056384,lll3023.jpg
13.287135,0.115067,0,0.099192,lll22.jpg
15.444947,0.083841,0,0.087505,lll1553.jpg
9.09067,-0.062615,0,0.247093,lll2450.jpg
8.457644,0.011627,0,0.165146,lll312.jpg
11.199832,-0.007331,0,0.176523,lll3210.jpg
11.445302,0.039695,0,0.073196,lll71.jpg
11.939975,0.037096,0,0.070119,lll301.jpg
6.799233,-0.134221,0,0.278827,lll2131.jpg
12.121588,0.062964,0,0.022496,lll2894.jpg
9.087121,-0.076465,0,0.552931,lll2113.jpg
15.910522,0.188726,0,0.078018,lll2833.jpg
12.723681,0.110887,0,0.128939,lll1544.jpg
10.496057,0.015895,0,0.604974,lll3281.jpg
7.67178,-0.060032,0,0.317121,lll2482.jpg
9.005775,-0.055159,0,0.664542,lll3094.jpg
11.272611,0.048041,0,0.329509,lll60.jpg
11.761462,0.076901,0,0.061248,lll13040.jpg
9.620237,-0.004838,0,0.05311,lll1584.jpg
13.326633,0.117615,0,0.084678,lll13022.jpg
14.640594,0.166077,0,0.368153,lll3063.jpg
9.400861,-0.007475,0,0.631855,lll3181.jpg
8.437634,-0.082911,0,0.379849,lll1812.jpg
11.708345,0.068115,0,0.061712,lll3140.jpg
11.761462,0.076901,0,0.061248,lll3040.jpg
11.667486,0.041297,0,0.087069,lll3252.jpg
11.291927,0.023673,0,0.090751,lll3190.jpg
8.103782,-0.072027,0,0.108868,lll2832.jpg
9.001755,-0.041684,0,0.073536,lll2481.jpg
13.071785,0.104501,0,0.093398,lll3050.jpg
8.241302,-0.064962,0,0.442131,lll1880.jpg
14.863976,0.177312,0,0.03515,lll2171.jpg
10.990164,0.025836,0,0.403542,lll323.jpg
14.479605,0.115721,0,0.045264,lll2811.jpg
14.913017,0.153935,0,0.048399,lll3272.jpg
13.941986,0.132971,0,0.342719,lll13093.jpg
14.564333,0.166625,0,0.020403,lll3220.jpg
11.804425,0.043118,0,0.102092,lll2181.jpg
8.128402,-0.095312,0,0.142265,lll13034.jpg
10.259254,0.004968,0,0.053383,lll1593.jpg
11.045518,0.00625,0,0.184455,lll2140.jpg
11.48043,0.029969,0,0.077181,lll3161.jpg
9.756145,-0.043851,0,0.157056,lll2862.jpg
4.236167,-0.103383,0,0.65432,lll2142.jpg
9.33957,-0.011734,0,0.05448,lll2893.jpg
14.768765,0.121565,0,0.053593,lll2144.jpg
